EnteredTimestamp,EventTimestamp,EnteredBy,CounterpartyViewCode,ExchangeAccountCode,InstrumentViewCode,BuySell,BuySellQualifier,OrderValue,OrderPrice,OrderStatus,VolumeDone,AveragePrice,VolumeLeft,MarketId,OrderNotes,RouteId,ExchangeOrderId,OrderFlags,ErrorText,CompletionReason,ExpiryTimestamp,ExpiryType,OrderId,OrderVersion,ParentOrderId,Currency,StartOfDayQty,GrossPriceToday,VolumeDoneToday,TradeAmountToday
20180626 09:31:51.120210 +0800 ,20180626 09:31:51.173528 +0800 ,chweepeng,CROSS-SG,2411,GGR.SP,S, ,100.0,0.29,C,100.0,0.29,0.0,SES-MAIN,EX:UAT test order,DIRECT,6145590100010CC9,AGA ,SUCCESS,M,20180626 20:00:00.000000 +0800 ,GFD,00003471520DOSG1,1,00010117718ORHK1,SGD,100.0,0.2900,100.0,29.0
20180626 09:31:57.288078 +0800 ,20180626 09:31:57.419636 +0800 ,chweepeng,CROSS-SG,2411,GGR.SP,S, ,300.0,0.29,C,300.0,0.29,0.0,SES-MAIN,EX:UAT test order,DIRECT,6145590100010CCA,AGA ,SUCCESS,M,20180626 20:00:00.000000 +0800 ,GFD,00003471521DOSG1,1,00010117719ORHK1,SGD,300.0,0.2900,300.0,87.0
20180626 09:32:02.830766 +0800 ,20180626 09:32:02.942466 +0800 ,chweepeng,CROSS-SG,2411,GGR.SP,S, ,300.0,0.29,C,300.0,0.29,0.0,SES-MAIN,EX:UAT test order,DIRECT,6145590100010CCB,AGA ,SUCCESS,M,20180626 20:00:00.000000 +0800 ,GFD,00003471522DOSG1,1,00010117720ORHK1,SGD,300.0,0.2900,300.0,87.0
20180626 09:32:10.520900 +0800 ,20180626 09:32:10.670747 +0800 ,chweepeng,CROSS-SG,2411,GGR.SP,S, ,100.0,0.29,C,100.0,0.29,0.0,SES-MAIN,EX:UAT test order,DIRECT,6145590100010CCC,AGA ,SUCCESS,M,20180626 20:00:00.000000 +0800 ,GFD,00003471523DOSG1,1,00010117721ORHK1,SGD,100.0,0.2900,100.0,29.0
20180626 09:32:19.318092 +0800 ,20180626 09:32:19.372725 +0800 ,chweepeng,CROSS-SG,2411,GGR.SP,S, ,500.0,0.29,C,500.0,0.29,0.0,SES-MAIN,EX:UAT test order,DIRECT,6145590100010CCD,AGA ,SUCCESS,M,20180626 20:00:00.000000 +0800 ,GFD,00003471524DOSG1,1,00010117722ORHK1,SGD,500.0,0.2900,500.0,145.0
20180626 09:32:25.318124 +0800 ,20180626 09:32:25.401063 +0800 ,chweepeng,CROSS-SG,2411,GGR.SP,S, ,400.0,0.29,C,400.0,0.29,0.0,SES-MAIN,EX:UAT test order,DIRECT,6145590100010CCE,AGA ,SUCCESS,M,20180626 20:00:00.000000 +0800 ,GFD,00003471525DOSG1,1,00010117723ORHK1,SGD,400.0,0.2900,400.0,116.0
20180626 09:32:34.450436 +0800 ,20180626 09:32:34.723700 +0800 ,chweepeng,CROSS-SG,2411,GGR.SP,S, ,200.0,0.29,C,200.0,0.29,0.0,SES-MAIN,EX:UAT test order,DIRECT,6145590100010CCF,AGA ,SUCCESS,M,20180626 20:00:00.000000 +0800 ,GFD,00003471526DOSG1,1,00010117724ORHK1,SGD,200.0,0.2900,200.0,58.0
20180626 09:32:43.725625 +0800 ,20180626 09:32:43.842521 +0800 ,chweepeng,CROSS-SG,2411,GGR.SP,S, ,700.0,0.29,C,700.0,0.29,0.0,SES-MAIN,EX:UAT test order,DIRECT,6145590100010CD0,AGA ,SUCCESS,M,20180626 20:00:00.000000 +0800 ,GFD,00003471527DOSG1,1,00010117725ORHK1,SGD,700.0,0.2900,700.0,203.0
20180626 09:32:59.035117 +0800 ,20180626 09:32:59.095786 +0800 ,chweepeng,CROSS-SG,2411,HPHT.SP,S, ,100.0,0.26,C,100.0,0.26,0.0,SES-MAIN,EX:UAT test order,DIRECT,6145590100010CD1,AGA ,SUCCESS,M,20180626 20:00:00.000000 +0800 ,GFD,00003471528DOSG1,1,00010117727ORHK1,USD,100.0,0.2600,100.0,26.0
20180626 09:33:04.411516 +0800 ,20180626 09:33:04.492143 +0800 ,chweepeng,CROSS-SG,2411,HPHT.SP,S, ,200.0,0.26,C,200.0,0.26,0.0,SES-MAIN,EX:UAT test order,DIRECT,6145590100010CD2,AGA ,SUCCESS,M,20180626 20:00:00.000000 +0800 ,GFD,00003471529DOSG1,1,00010117728ORHK1,USD,200.0,0.2600,200.0,52.0
20180626 09:33:08.214917 +0800 ,20180626 09:33:08.335057 +0800 ,chweepeng,CROSS-SG,2411,HPHT.SP,S, ,300.0,0.26,C,300.0,0.26,0.0,SES-MAIN,EX:UAT test order,DIRECT,6145590100010CD3,AGA ,SUCCESS,M,20180626 20:00:00.000000 +0800 ,GFD,00003471530DOSG1,1,00010117729ORHK1,USD,300.0,0.2600,300.0,78.0
20180626 09:33:19.668598 +0800 ,20180626 09:33:19.777629 +0800 ,chweepeng,CROSS-SG,2411,HPHT.SP,S, ,400.0,0.26,C,400.0,0.26,0.0,SES-MAIN,EX:UAT test order,DIRECT,6145590100010CD5,AGA ,SUCCESS,M,20180626 20:00:00.000000 +0800 ,GFD,00003471531DOSG1,1,00010117730ORHK1,USD,400.0,0.2600,400.0,104.0
20180626 09:33:24.091833 +0800 ,20180626 09:33:24.137263 +0800 ,chweepeng,CROSS-SG,2411,HPHT.SP,S, ,100.0,0.26,C,100.0,0.26,0.0,SES-MAIN,EX:UAT test order,DIRECT,6145590100010CD6,AGA ,SUCCESS,M,20180626 20:00:00.000000 +0800 ,GFD,00003471532DOSG1,1,00010117731ORHK1,USD,100.0,0.2600,100.0,26.0
20180626 09:33:28.745810 +0800 ,20180626 09:33:28.790619 +0800 ,chweepeng,CROSS-SG,2411,HPHT.SP,S, ,200.0,0.26,C,200.0,0.26,0.0,SES-MAIN,EX:UAT test order,DIRECT,6145590100010CD7,AGA ,SUCCESS,M,20180626 20:00:00.000000 +0800 ,GFD,00003471533DOSG1,1,00010117732ORHK1,USD,200.0,0.2600,200.0,52.0
20180626 09:33:32.980915 +0800 ,20180626 09:33:33.029380 +0800 ,chweepeng,CROSS-SG,2411,HPHT.SP,S, ,300.0,0.26,C,300.0,0.26,0.0,SES-MAIN,EX:UAT test order,DIRECT,6145590100010CD8,AGA ,SUCCESS,M,20180626 20:00:00.000000 +0800 ,GFD,00003471534DOSG1,1,00010117733ORHK1,USD,300.0,0.2600,300.0,78.0
