20161003-00006-00001 	 20161003-00006-00001 	 20161003-00006-00001 	  	 883 	 buy 	 PT-UBS 	 9.76 	 20000 	 0 	 0 	 2016/10/03 03:39:16.000 	 2016/10/03 03:39:16.000
20161003-00024-00001 	 20161003-00024-00001 	 20161003-00024-00001 	  	 Z74 	 buy 	  	 4.02 	 2000 	 0 	 0 	 2016/10/03 08:04:24.000 	 2016/10/03 08:04:24.000
20161003-00002-00001 	 20161003-00002-00001 	 20161003-00002-00004 	 20161003-00002-00001 	 883 	 buy 	 PT-UBS 	 9.81 	 20000 	 1000 	 9.6 	 2016/10/03 02:16:26.000 	 2016/10/03 02:17:03.000
20161003-00040-00001 	 20161003-00040-00001 	 20161003-00040-00003 	 20161003-00040-00001 	 UBP 	 buy 	 PT-ALLI 	 73.95 	 2000 	 0 	 0.0 	 2016/10/03 08:58:17.000 	 2016/10/03 08:58:44.000
20161003-00009-00001 	 20161003-00009-00001 	 20161003-00009-00006 	 20161003-00009-00003 	 883 	 buy 	 PT-UBS 	 9.76 	 20000 	 0 	 0.0 	 2016/10/03 03:42:19.000 	 2016/10/03 03:54:40.000
20161003-00025-00001 	 20161003-00025-00001 	 20161003-00025-00001 	  	 Z74 	 buy 	 PT-UBS 	 4.02 	 2000 	 0 	 0 	 2016/10/03 08:05:48.000 	 2016/10/03 08:05:48.000
20161003-00046-00001 	 20161003-00046-00001 	 20161003-00046-00001 	  	 BHP 	 buy 	 PT-ALLI 	 22.73 	 2000 	 0 	 0 	 2016/10/03 09:05:46.000 	 2016/10/03 09:05:46.000
20161003-00037-00001 	 20161003-00037-00001 	 20161003-00037-00001 	  	 2838 	 buy 	 PT-ALLI 	 8.7 	 2000 	 0 	 0 	 2016/10/03 08:43:28.000 	 2016/10/03 08:43:28.000
20161003-00001-00001 	 20161003-00001-00001 	 20161003-00001-00001 	  	 ANZ 	 buy 	 PT-UBS 	 28.6 	 5000 	 0 	 0 	 2016/10/03 00:45:18.000 	 2016/10/03 00:45:18.000
20161003-00013-00001 	 20161003-00013-00001 	 20161003-00013-00001 	  	 CIMBT 	 buy 	 PT-UBS 	 1.05 	 1000 	 0 	 0 	 2016/10/03 06:09:10.000 	 2016/10/03 06:09:10.000
20161003-00019-00001 	 20161003-00019-00001 	 20161003-00019-00001 	  	 CIMBT 	 buy 	  	 1.05 	 2000 	 0 	 0 	 2016/10/03 07:30:14.000 	 2016/10/03 07:30:14.000
20161003-00047-00001 	 20161003-00047-00001 	 20161003-00047-00001 	  	 BHP 	 buy 	 PT-ALLI 	 22.73 	 2000 	 0 	 0 	 2016/10/03 09:06:05.000 	 2016/10/03 09:06:05.000
20161003-00031-00001 	 20161003-00031-00001 	 20161003-00031-00001 	  	 CIMBT 	 buy 	 PT-ALLI 	 1.06 	 2000 	 0 	 0 	 2016/10/03 08:22:44.000 	 2016/10/03 08:22:44.000
20161003-00011-00001 	 20161003-00011-00001 	 20161003-00011-00001 	  	 883 	 sell 	 PT-UBS 	 9.76 	 20000 	 1000 	 9.76 	 2016/10/03 03:55:27.000 	 2016/10/03 03:55:59.000
20161003-00029-00001 	 20161003-00029-00001 	 20161003-00029-00003 	 20161003-00029-00001 	 Z74 	 buy 	 PT-ALLI 	 4.02 	 2000 	 0 	 0.0 	 2016/10/03 08:19:24.000 	 2016/10/03 08:20:28.000
20161003-00020-00001 	 20161003-00020-00001 	 20161003-00020-00001 	  	 883 	 buy 	  	 9.7 	 999 	 0 	 0 	 2016/10/03 07:53:00.000 	 2016/10/03 07:53:00.000
20161003-00042-00001 	 20161003-00042-00001 	 20161003-00042-00003 	 20161003-00042-00001 	 TATASTEEL 	 buy 	 PT-ALLI 	 381.65 	 2000 	 0 	 0.0 	 2016/10/03 09:00:47.000 	 2016/10/03 09:01:06.000
20161003-00014-00001 	 20161003-00014-00001 	 20161003-00014-00001 	  	 CIMBT 	 buy 	 PT-MER 	 1.05 	 1000 	 0 	 0 	 2016/10/03 06:10:21.000 	 2016/10/03 06:10:21.000
20161003-00022-00001 	 20161003-00022-00001 	 20161003-00022-00001 	  	 883 	 buy 	  	 9.7 	 999 	 0 	 0 	 2016/10/03 07:57:43.000 	 2016/10/03 07:57:43.000
